Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
2887,3.0,1,1,1
5468,3.0,1,1,1
2185,3.0,1,1,1
120892,3.0,1,1,1
51347,3.0,1,1,1
5791,3.0,1,1,1
4599,3.0,1,1,1
3663,3.0,1,1,1
3661,3.0,1,1,1
7098,3.0,1,1,1
4137,3.0,1,1,1
1879,3.0,1,1,1
51043,3.0,1,1,1
1912,2.0,1,0,1
4605,2.0,1,0,1
89795,2.0,1,1,0
8289,2.0,1,0,1
2100,2.0,1,0,1
2729,2.0,1,1,0
4782,2.0,1,0,1
7879,2.0,1,0,1
2119,2.0,1,0,1
10915,2.0,1,0,1
7050,2.0,1,0,1
85313,2.0,1,0,1
287,2.0,1,0,1
322,2.0,1,0,1
11016,2.0,1,0,1
23281,1.0,1,0,0
80206,1.0,1,0,0
5454,1.0,1,0,0
158471,1.0,1,0,0
9863,1.0,1,0,0
171017,1.0,1,0,0
10818,1.0,1,0,0
2272,1.0,1,0,0
7593,1.0,1,0,0
91768,1.0,1,0,0
55790,1.0,1,0,0
8820,1.0,1,0,0
57091,1.0,1,0,0
6945,1.0,1,0,0
