fname,fold,epochs,loss,acc,bal_acc,auprc,auroc,val_loss,val_acc,val_bal_acc,val_auprc,val_auroc,test_loss,test_acc,test_bal_acc,test_auprc,test_auroc
c02x - AD,0,105,0.10825996845960617,1.0,1.0,1.0,1.0,0.7694064974784851,0.6090909242630005,0.5053571428571428,0.6091610615978377,0.4635714285714286,0.7909637093544006,0.6491228342056274,0.5081374321880651,0.7194018535994431,0.5215189873417722
c02x - AD,1,101,0.03791087493300438,1.0,1.0,1.0,1.0,1.057543396949768,0.5263158082962036,0.4593128390596745,0.6601551808582359,0.42748643761301985,0.994437575340271,0.525547444820404,0.48991130820399115,0.6077934904257185,0.48603104212860315
c02x - AD,2,138,0.026096398010849953,1.0,1.0,1.0,1.0,1.0907655954360962,0.525547444820404,0.47494456762749443,0.6362069313448184,0.4962305986696231,1.0300626754760742,0.5403226017951965,0.460801393728223,0.6676519757072603,0.49854819976771203
c02x - AD,3,103,0.053947336971759796,0.9972299337387085,0.9961538461538462,0.9999248745131142,0.9998667998667999,0.9023370146751404,0.5725806355476379,0.4793844367015099,0.6827488412078679,0.5203252032520325,0.827134907245636,0.59375,0.48191757779646766,0.7108848822727861,0.47771236333052985
c02x - AD,4,159,0.1006520614027977,1.0,1.0,0.9999999999999999,1.0,0.7391831874847412,0.4375,0.47659097280627977,0.7231857769382875,0.4998598261844687,0.8230741024017334,0.4545454680919647,0.46964285714285714,0.6210871799305863,0.47571428571428565
c07x - scz,0,128,0.11113907396793365,0.989159882068634,0.9944211994421199,1.0,1.0,0.8403626680374146,0.5447154641151428,0.4403292181069959,0.01308802308802309,0.40466392318244165,0.7740724682807922,0.5569105744361877,0.2807377049180328,0.01062251655629139,0.4405737704918033
c07x - scz,1,124,0.06434240192174911,0.9878048896789551,0.9937845303867403,0.8344122147693577,0.9986187845303868,0.925829291343689,0.5691056847572327,0.28688524590163933,0.009065213002220875,0.34631147540983603,0.8645939230918884,0.6178861856460571,0.5614406779661016,0.06319737974553151,0.6008474576271187
c07x - scz,2,234,0.12078782916069031,0.9864498376846313,0.9931318681318682,0.8813455988455987,0.9989010989010989,0.6815958619117737,0.565040647983551,0.5817796610169492,0.05896669272639492,0.6338983050847458,0.5774354338645935,0.5,0.6625,0.047929695514073535,0.7208333333333333
c07x - scz,3,194,0.2708607316017151,0.9566395878791809,0.9778699861687414,0.8951736226736227,0.9973259566620561,0.598050057888031,0.5447154641151428,0.6854166666666667,0.048767405452869936,0.6645833333333333,1.2238917350769043,0.4878048896789551,0.5427385892116182,0.03433931991032968,0.5825726141078837
c07x - scz,4,107,0.11404967308044434,0.9932249188423157,0.9965277777777778,1.0,1.0,0.8877761960029602,0.9308943152427673,0.475103734439834,0.05709244884297295,0.691286307053942,0.6945051550865173,0.9593495726585388,0.48559670781893005,0.01236505884821118,0.3621399176954732
c28x - AD_resilient,0,100,0.03717159107327461,0.9930555820465088,0.9947916666666667,1.0,1.0,1.0438628196716309,0.6117647290229797,0.5379072681704261,0.6691073251249187,0.4918546365914787,0.9435250759124756,0.6363636255264282,0.5680970149253731,0.6976853769286184,0.5419776119402985
c28x - AD_resilient,1,100,0.050014954060316086,0.9893617033958435,0.989200675321651,0.999893847307776,0.999767130465157,0.829738974571228,0.5757575631141663,0.5396455223880596,0.7216765576461337,0.5620335820895522,0.9284309148788452,0.5054945349693298,0.475,0.6327373363205097,0.4954081632653061
c28x - AD_resilient,2,100,0.2770332396030426,0.9721254110336304,0.9766164994425863,0.9950158700991194,0.986845039018952,0.8367984890937805,0.4065934121608734,0.45892857142857146,0.6384483644792442,0.4892857142857142,0.8050641417503357,0.40425533056259155,0.4928381962864722,0.6668814288054479,0.4265251989389921
c28x - AD_resilient,3,104,0.06853461265563965,0.9890909194946289,0.9891812865497076,0.9999384421253665,0.9998830409356725,0.8700674176216125,0.6276595592498779,0.5206896551724138,0.7132141932462528,0.5039787798408488,0.7661415338516235,0.6116504669189453,0.5294894366197183,0.7424866671764905,0.5686619718309859
c28x - AD_resilient,4,102,0.019476676359772682,0.9964788556098938,0.9973404255319149,0.9999999999999999,1.0,1.001837968826294,0.553398072719574,0.5215669014084507,0.7101773243648684,0.5404929577464789,1.0862234830856323,0.529411792755127,0.49467418546365916,0.6884779492382234,0.4899749373433584
c28x - AD_strict,0,130,0.059711284935474396,0.9967426657676697,0.9975369458128078,0.9999519404061035,0.9999052671466464,0.7995220422744751,0.5943396091461182,0.5206282231598687,0.7946265204418916,0.5518049695264886,0.7732143998146057,0.5795454382896423,0.5549386323787259,0.740733247901212,0.5511396843950905
c28x - AD_strict,1,128,0.03952135890722275,0.996874988079071,0.9976744186046511,1.0,1.0,0.8237510323524475,0.5454545617103577,0.494447691408533,0.69116001541226,0.5073056691992988,0.886044442653656,0.5698924660682678,0.501435132032147,0.6929550982823814,0.46268656716417905
c28x - AD_strict,2,100,0.05909483879804611,0.9967637658119202,0.9975369458128078,1.0,1.0,0.7851994633674622,0.5913978219032288,0.45752009184845005,0.7488432232434432,0.4936854190585534,0.8105548024177551,0.5858585834503174,0.4625251509054326,0.7737591246545272,0.5905432595573441
c28x - AD_strict,3,100,0.06438414007425308,0.99303138256073,0.9951219512195122,1.0,1.0,0.9510138630867004,0.6666666865348816,0.4864185110663984,0.6993938609585467,0.49245472837022136,0.8782579898834229,0.591304361820221,0.5392307692307692,0.6864778264668525,0.5926153846153847
c28x - AD_strict,4,100,0.05203007161617279,0.9964285492897034,0.9974619289340101,1.0,1.0,0.8850180506706238,0.539130449295044,0.5,0.6343620097771898,0.5316923076923078,0.7861247658729553,0.7358490824699402,0.6033755274261603,0.7987407414165955,0.5780590717299577
